     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      6871,        61,         0,  1481.3,bposd,81b94c9a3804914e8f002e9f924b154a2e3631619a56f9570e99aa8585005439,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.002,""weight"":6}",
       783,        53,         0,   591.6,bposd,9f4a1a6936902ea7f63e7a3f39347a7df57ec067fa554ffc7839a92c4d6cf68a,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.003,""weight"":6}",
       126,        59,         0,   519.0,bposd,668f12d52b0caf522feaffaf7c952ef6455edd2d2aa59bbfd374f203fc0f4679,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.006,""weight"":6}",
       389,        55,         0,   590.9,bposd,5b909ce116ecfb5ab5733a64989beeaff8026643dd531cbba783bda94f6d080c,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.004,""weight"":6}",
     77918,        55,         0,  3826.5,bposd,8f6c145c8d12ea63518f354100d340414b0ffaec445213e2b6f43738a99f9299,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.001,""weight"":6}",
       165,        56,         0,   412.2,bposd,01f9b2c7dbe93250f9efa113a4fae2a5b24475e0a8761c4864148b3eaabd3b00,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.005,""weight"":6}",
        69,        64,         0,   381.2,bposd,67d1f793a60a43563414dfe9f749249d036beb5a79f205d041f48a8bee6dd087,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.01,""weight"":6}",
        65,        56,         0,   348.3,bposd,36094e85477266b8c48020d6fe51bf83a8cc34b458d9e15b1552a25bd5b79309,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.008,""weight"":6}",
        60,        52,         0,   332.7,bposd,74cd19f9bbc49bf1d5e6f3f2219dcee8a62d14a76f3a3188fb59ae133c7bd75d,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.009,""weight"":6}",
       140,        88,         0,   651.1,bposd,e316018fea22307afb13851d03f9a6d10889c73726d8b3e0b9ffac79a419cbab,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.007,""weight"":6}",
   1008248,        57,         0, 22736.2,bposd,287d0368b0b0331ba9b6858d9fb78ca1fe5639bd746eef743f4e3969b352ad58,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0005,""weight"":6}",
  76039504,        50,         0,217263.1,bposd,a25b3404f80697f2dec3d390aec3c0fe99dc43acb08687e987649d7998878538,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0001,""weight"":6}",
       570,        70,         0,   714.0,bposd,2f5b08f2a298ac7cf5eda20db03b3aa2db399f25bedf739f55345495e71f0122,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0035,""weight"":6}",
       397,        97,         0,   911.0,bposd,92cfbc3f609c3adbce49dfe7958a42ff37063ca5359ac6e005f64e75363add36,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0045,""weight"":6}",
     19566,        65,         0,  2342.8,bposd,bb0d2f8b0faf41a44eec4f84a4b3061c8e66c9a01094b55096adaf4c72c72b06,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0015,""weight"":6}",
      2233,        58,         0,  1144.2,bposd,025889428963be89f5c9dce8004132fb5d324a99c9b5c8603a04f17599198039,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0025,""weight"":6}",
    115447,        57,         0,  6981.9,beam32_340iters,80396fc817505bfe2163cbdce1fc46b65ea23b3dcbec1fa53b9845f32f6c38c3,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.001,""weight"":6}",
      2645,        55,         0,   486.3,beam32_340iters,fd4017da821d16b2a22282a1b9bb375109c78ece42c0e86e5652578435eb6501,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.003,""weight"":6}",
      1097,        57,         0,   588.5,beam32_340iters,c9ef7a9f5ea6222f78b1d90b97afbe718722944178f0ba7ca7e68770b4bf5695,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.004,""weight"":6}",
     13180,        62,         0,  1099.3,beam32_340iters,51aa1d5197bd384aa123f53416c9840133bf9b6c1837c4fa1bd52bfd6e53311c,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.002,""weight"":6}",
       426,        59,         0,   552.3,beam32_340iters,cbcdc545327ce8a49a9726a3a17b337a6a795a15b0a05562c2787ce3f80ed04c,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.005,""weight"":6}",
       227,        63,         0,   583.5,beam32_340iters,7ccde010d61a18e05d7b0d4256a6a999d8a6c22f05eac711a1c8201c0ad347ff,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.006,""weight"":6}",
       127,        61,         0,   528.0,beam32_340iters,ca5fc344036132e9926afdc763cf92c4d4ee19a46e743c90b780ff71ed2eec47,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.007,""weight"":6}",
       103,        66,         0,   607.3,beam32_340iters,0e282a84a416f8b7c9215a05c8e621e4ce213f803c853123d41e4f08537b820a,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.008,""weight"":6}",
  46226398,        50,         0,740436.6,beam32_340iters,641d4a73790eb8b6274dbbd14edcabc1ca3655cb3aee736d43091133ec14bc39,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0001,""weight"":6}",
    650726,        51,         0, 33499.9,beam32_340iters,767409282130f5dda54382010469edfed2a1b88e0b4ffd4e5279866af6dd3207,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0005,""weight"":6}",
     42986,        56,         0,  2941.0,beam32_340iters,8528596ec300925f8755b32f9cbbe43cf571dc925f4c024a7f7592b8d21d1821,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0015,""weight"":6}",
      5307,        57,         0,   614.1,beam32_340iters,d74ce4c635e47817006a65ad958bf2819003d0e11f1230c0526d519da7fff69e,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0025,""weight"":6}",
      1861,        62,         0,   540.6,beam32_340iters,6b736e0e38ba389f592e7f05d875c221a410216c05cc342b35475ddc04a26d5c,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0035,""weight"":6}",
    198564,        59,         0,  7051.9,relay-bp_5,dae9f1a5f00ac23ec3f9481a6fe24cb3f0e3435111429fc60297e6a3b15ab1a6,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.001,""weight"":6}",
     20474,        62,         0,  1342.3,relay-bp_5,fe663b1aaa685dd47860b44b2299f8320eb9a64070afca5d9831e865715b263f,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.002,""weight"":6}",
     67100,        63,         0,  3317.3,relay-bp_5,ec3f937b3ebc77fd1fdb2136e92f17191533cf3144fe5e001c7ad0b817d69c24,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0015,""weight"":6}",
      1930,        61,         0,   488.4,relay-bp_5,3fcdd37d3e94c12d5358fba9d2bdb49083b9efd275cd16a5c67cd22e92e4a289,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.004,""weight"":6}",
      7679,        60,         0,   707.8,relay-bp_5,bd05391caa662049909606e38417350315ac3b61d5b04b4247a3e8a519361e49,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0025,""weight"":6}",
      2375,        55,         0,   423.0,relay-bp_5,54b37d6e17a243b5783fec26456f7ffecefb7127f74265183ecf70a0e778dea2,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0035,""weight"":6}",
      5028,        68,         0,   680.1,relay-bp_5,c485183ad320f60961de108b713d9834c3ffbfd1ca1d7af605e728bdf5455167,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.003,""weight"":6}",
       528,        60,         0,   421.3,relay-bp_5,573c6dbd822f51465c2b11362e1879914b6b12de2fa03dcf17d53e541126020a,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0055,""weight"":6}",
       514,        56,         0,   231.2,relay-bp_5,ee9d0604fccee894709219e0450a053f4b5dd5af4ca9c3644429628194e4f649,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.005,""weight"":6}",
       845,        56,         0,   368.3,relay-bp_5,bb7de869ad3e46190d401c6b7c7875c47e4c020da9fa23c4bf43f8d6fb51bfae,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.0045,""weight"":6}",
       340,        56,         0,   398.1,relay-bp_5,ac51b50d0a4e0c8c4b2fba83a5531551da769a1aaf93283238a0c1f3e88356d1,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""Z"",""p"":0.006,""weight"":6}",
