     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      4441,        52,         0, 52758.8,bposd,238ca6394012ac637d02a613726dbceda4d4c026af62df01d1e6b29d4b95cc1c,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.002,""weight"":8}",
     16719,        52,         0, 85456.0,bposd,7fda0d73b2c4c3c15dc2fac177dc5e44b5e7b0e92f555b4b53e6e60662fd323b,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.0015,""weight"":8}",
       410,        53,         0, 29826.0,bposd,faa97657a30ba425c68da8905e52ddbbe3058ce04d6a7bec2b0c768b1308f0c9,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.003,""weight"":8}",
       801,        52,         0, 36476.3,bposd,f09063729df4359fe40e1844eb7cffb85e858c1c0be0b4977f6673a91f5a6b76,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.0025,""weight"":8}",
       125,        53,         0, 24098.8,bposd,aa4722e32e8735f62dcd0d7d8951eaa946712258a7add799d9f4fd90c220cc93,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.004,""weight"":8}",
       241,        53,         0, 24398.6,bposd,1b7683709581b6d333eeeb3636f6bacb3c8fe3bd9687eac9ddcf350394c827e0,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.0035,""weight"":8}",
    227069,        50,         0,354380.7,bposd,7ed8df7860706e3b48f680676f54a8330d5205bbd835048fba78577c676e5edf,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.001,""weight"":8}",
   6237766,        50,         0,6963283.0,bposd,bb2665d538cc7ed19c8f14c069129b942834f5eaf94cce4a89906c0864ec48f2,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.0005,""weight"":8}",
        76,        54,         0,  3582.0,bposd,590c8e42f94cf453384f357fd2564a4e6fbeced9c9138aac5ba611ba4677a5b9,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.005,""weight"":8}",
        87,        58,         0,  4714.5,bposd,fae491d690e80b954ae6e01439be45618f72d1ed7c76e16e88185669de508751,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.0045,""weight"":8}",
        63,        61,         0,  5321.6,bposd,75851a68645a56812730e4ab682bad5ef760d269128efe536a7c354b31b3fd29,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.006,""weight"":8}",
        61,        60,         0,  4991.0,bposd,42418b0720ed83836be3d1496b4f24db093cefb0b53e45d0135c27e19f8ad960,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.0065,""weight"":8}",
        67,        60,         0,  4534.4,bposd,a6139618d3bb7a12e0cb7549c5fca90756036c6627eb541be3e5cf63a1066fde,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""X"",""p"":0.0055,""weight"":8}",
