     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       863,        50,         0, 15690.9,bposd,5e03d446ce90f0375402938a093cd71206557002b416fbeebfce84f75597c976,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.0025,""weight"":8}",
       187,        55,         0, 10870.0,bposd,70815f57fe642dd13e1ede9075ed438fab1f0fefd03dff26c135711039e7af98,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.0035,""weight"":8}",
       123,        58,         0, 12977.7,bposd,29861a2e44d6244639eb5e7b3fe7c18d67822d71a41e3fc9600f765b58673666,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.004,""weight"":8}",
     22372,        50,         0, 40975.2,bposd,65d520510d3448be9107b981b0db47217d9eeb9f3956f81db82615006e0276d4,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.0015,""weight"":8}",
      4695,        52,         0, 27403.6,bposd,4bfe845cdaf7ef4f6f0521d2bfd69264e704b491daf0c6c95c1a0de848966666,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.002,""weight"":8}",
       415,        53,         0, 11268.9,bposd,d5a34cb1a80af5342c9ad2e7b1fad8f297f4e27ad01c8313866ce4cca431282b,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.003,""weight"":8}",
       106,        67,         0, 17492.6,bposd,62404ea177238abafedf3d8ea8ded3de5a2091701ee85d61be6902baa354443c,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.0045,""weight"":8}",
        92,        66,         0, 16691.0,bposd,12a14b60874332b20ddaac22b40c0340b030951ea56e12dae144df6e99e047d1,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.005,""weight"":8}",
        74,        69,         0, 14965.9,bposd,1ebeb52a5a974e981a2438a1aa2c5029bf28eca86d975f2fe52b3893ebb223af,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.0055,""weight"":8}",
        67,        63,         0, 13889.3,bposd,d9008588b81ba34aed6f328318c2276e6a1ddcd0ec7bac09d9c041fce160dcc8,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.006,""weight"":8}",
        57,        56,         0, 12444.6,bposd,76f3bbd01fc7d4f7bc0d5ddadf84d31002b462b3efeb939fbc6aa794acfa026f,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.0065,""weight"":8}",
    222502,        50,         0,373166.2,bposd,e33df1e00144dea8731ef5f964bfa711b5fe639c1a85b1e55bc0827aa3fa38d9,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.001,""weight"":8}",
   4376211,        50,         0,4799897.1,bposd,cbceb477cd115fd321234de70d6319782dc6c40800b539c3cb9bd8588d5d6508,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.0005,""weight"":8}",
        70,         0,         0,    40.3,bposd,6f0203af5fbd54e5250b3e69f22e3292aa0210e09c36de5bc80e83adb8384e4d,"{""Code Name"":""[84,16,8]_(252,21,6)"",""NumberofCycle"":8,""basis"":""Z"",""p"":0.0008,""weight"":8}",
