     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     60689,        52,         0,154549.6,bposd,6ba8a2a4440909a4a160fd7b5a95b06d557cf26e874dd132c4c19e6a085256f8,"{""Code Name"":""[96,8,10]_(384,512,27)"",""NumberofCycle"":10,""basis"":""X"",""p"":0.002,""weight"":6}",
   6814066,        50,         0,6467299.0,bposd,7385692dfa5276d13454a6e28540cde1348cd382594c271420c920fae582edfd,"{""Code Name"":""[96,8,10]_(384,512,27)"",""NumberofCycle"":10,""basis"":""X"",""p"":0.001,""weight"":6}",
       236,        72,         0, 22556.0,bposd,8fc610693339fd20aeb6e6d377dcc48dc7f868da54dc0dd875066763286da739,"{""Code Name"":""[96,8,10]_(384,512,27)"",""NumberofCycle"":10,""basis"":""X"",""p"":0.005,""weight"":6}",
       574,        57,         0, 21478.3,bposd,c6204efda1481eed8d7eec329540eb45524c3848c7dee66f52e3f3fb88bf743d,"{""Code Name"":""[96,8,10]_(384,512,27)"",""NumberofCycle"":10,""basis"":""X"",""p"":0.004,""weight"":6}",
      2818,        51,         0, 31036.1,bposd,5a3d04c0dfcfb6debacbf15f910c6635540db9136bfea488fc17c15258714d92,"{""Code Name"":""[96,8,10]_(384,512,27)"",""NumberofCycle"":10,""basis"":""X"",""p"":0.003,""weight"":6}",
        60,        53,         0,  4131.6,bposd,76f3756250e1bc67491bc5d351618adfd23b6e124f5c8d3b42758807e3b41440,"{""Code Name"":""[96,8,10]_(384,512,27)"",""NumberofCycle"":10,""basis"":""X"",""p"":0.008,""weight"":6}",
        53,        53,         0,  4810.3,bposd,8a4ae90a93df66ec77466aaab83899b39261b9cb45ab633398f4c451edf2dafe,"{""Code Name"":""[96,8,10]_(384,512,27)"",""NumberofCycle"":10,""basis"":""X"",""p"":0.009,""weight"":6}",
        54,        54,         0,  7348.6,bposd,e362cde5c7e3f26976c46dc18df609af9373778e92d71d18d67d1b0c7dfb7285,"{""Code Name"":""[96,8,10]_(384,512,27)"",""NumberofCycle"":10,""basis"":""X"",""p"":0.01,""weight"":6}",
        61,        53,         0,  4745.7,bposd,c8996c17218e50b8a80dabed535521dd9e7c38e1c0856b8b3176fe2d7d242af8,"{""Code Name"":""[96,8,10]_(384,512,27)"",""NumberofCycle"":10,""basis"":""X"",""p"":0.007,""weight"":6}",
        90,        55,         0,  7664.1,bposd,11d7b1c42f1a25699677abdf9699dddf1032372d93124ed171d15bd8de083d39,"{""Code Name"":""[96,8,10]_(384,512,27)"",""NumberofCycle"":10,""basis"":""X"",""p"":0.006,""weight"":6}",
